has_day;has_night;day_description;night_description;name;address;title;type;litraturer;night_character;day_year_built;night_book;night_year_wrote;day_architect;img_url;night_quote;y;x
;1;;В доме сначала жил старик-машинист Иеремия Смит, которого случайно встретил главный герой романа, литератор Иван Петрович. После смерти старика Иван вселится в его жилище;Дом Смита;переулок Пирогова, 6;;Место действия;Достоевский Ф. М.;Иеремия Смит, Иван Петрович;;"""Униженные и оскорбленные""";1861;;https://spbcult.ru/upload/medialibrary/0c9/thlofgjzb7qolcedni7tumwzuerz2gka.png;«Квартиру старика отыскали. Он, однако же, жил не на Васильевском острову, а в двух шагах от того места, где умер, в доме Клугена, под самою кровлею, в пятом этаже, в отдельной квартире, состоящей из одной маленькой прихожей и одной большой, очень низкой комнаты, с тремя щелями наподобие окон. Жил он ужасно бедно».;59.929335;30.305484
;1;;Реально существующее здание, на крыльце которого Евгений спасался от наводнения. Мраморные львы здесь противопоставлены живой ярости воды. Сидя на звере, герой смотрит на затапливаемый город и на памятник Петру.;Дом со львами;Вознесенский проспект, 1;;Место действия;Пушкин А. С.;Евгений;;"""Медный всадник""";1837;;https://cdnstatic.rg.ru/crop1833x1228/uploads/images/2025/05/03/matiss-klub-illyustraciya-k-povesti-as-pushkina-«mednyy-vsadnik»_88c.jpg;"«Тогда, на площади Петровой, / Где дом в углу вознесся новый, / Где над возвышенным крыльцом... Стоят два льва сторожевые». 
«На звере мраморном верхом... Сидел недвижный, страшно бледный / Евгений».";59.935330;30.307487
;1;;Культуролог и краевед Николай Анциферов в своей книге «Петербург Достоевского» в 1923 году выдвинул предположение, что героиня «Преступления и наказания» жила на Екатерининском канале (сейчас канал Грибоедова) в доме № 73. В произведении Сонечка жила именно на третьем этаже, соседствуя с еще одним персонажем романа — Свидригайловым. В 1953 году зданию надстроили еще один этаж.;Дом Сонечки Мармеладовой;набережная канала Грибоедова, 73;;Место действия;Достоевский Ф. М.;Соня Мармеладова, Родион Раскольников;;"""Преступление и наказание""";1866;;https://photocentra.ru/images/main81/816571_main.jpg;«А Раскольников пошел прямо к дому на канаве, где жила Соня. Дом был трехэтажный, старый и зеленого цвета.;59.926449;30.310415
;1;;"У пушкинской героини имелся прототип, княгиня Наталья Голицина, и у нее, разумеется, был дом. Особняк XVIII века и сегодня стоит на Малой Морской улице, на углу с Гороховой.
Центральное место действия романа. Здесь живет Лизавета Ивановна под строгим надзором старухи, сюда Германн проникает по потаенной лестнице, и здесь происходит роковая сцена смерти графини. Литературоведы связывают этот адрес с «Домом Пиковой дамы» — особняком княгини Голицыной.";Дом старой графини;Малая Морская улица, 10;;Место действия;Пушкин А. С.;Графиня Анна Федотовна, Лизавета Ивановна, Германн;;"""Пиковая дама""";1834;;https://galina.ballesta.org/wp-content/uploads/2021/02/Dom_Pikovoy_Damy_800.jpg;"«...очутился он в одной из главных улиц Петербурга, перед домом старинной архитектуры. Улица была заставлена экипажами, кареты одна за другою катились к освещенному подъезду». 
«Из передней ступайте налево, идите всё прямо до графининой спальни... там же узенькая витая лестница: она ведёт в мою комнату».";59.935354;30.312715
;1;;Старуха-процентщица Алена Ивановна жила в доме № 15 по Средней Подьяческой улице. Квартира располагалась во втором узком дворе, от ворот во двор нужно было повернуть направо. До ее дома, от того места, где жил Раскольников надо пройти 730 шагов: «Идти ему было немного, он даже знал сколько шагов от ворот его дома, ровно семьсот тридцать».;Дом старухи-процентщицы;Средняя Подьяческая улица, 15;;Место действия;Достоевский Ф. М.;Алёна Ивановна, Родион Раскольников;;"""Преступление и наказание""";1866;;https://spbcult.ru/upload/medialibrary/556/gi4f0q2ybg5t4358o4y8130ko3o85uui.jpg;"«Идти ему было немного; он даже знал, сколько шагов от ворот его дома: ровно семьсот тридцать. Как-то раз он их сосчитал, когда уж очень размечтался.” “...подошел он к преогромнейшему дому, выходившему одною стеной на канаву, а другою в — ю улицу.”";59.924871;30.303435
;1;;Место встречи майора и носа;Казанский собор;Казанская площадь, дом 2;;Место действия;Гоголь Н. В.;Майор;;"""Нос""";1836;;https://mir-s3-cdn-cf.behance.net/project_modules/1400/5e94e3164172395.63f28d527c540.jpg;"""Бедный Ковалев чуть не сошел с ума. Он не знал, как и подумать о таком странном происшествии. Как же можно, в самом деле, чтобы нос, который еще вчера был у него на лице, не мог ездить и ходить, – был в мундире! Он побежал за каретою, которая, к счастию, проехала недалеко и остановилась перед Казанским собором.""";59.934612;30.324783
;1;;Как известно, князь Мышкин, увидев Настасью Филипповну у Иволгиных, мечтает попасть к ней на вечер, но не знает адреса. Он полагается на пропойцу генерала Иволгина, который уверяет, что проводит его к Настасье Филипповне, направляя к Большому театру. Буквально через десять страниц Коля Иволгин опровергает утверждение папаши и выручает Льва Николаевича, сообщив, что Настасья Филипповна никогда у Большого театра не жила, а квартира ее «близ Владимирской, у Пяти Углов». И показывает Мышкину дом с «великолепным подъездом» и «швейцаром». Роскошная квартира, которую снимал для Настасьи Филипповны Тоцкий. Здесь происходит кульминация первой части романа: празднование дня рождения, торг за Настасью Филипповну, бросание 100 тысяч рублей в камин и её отъезд с Рогожиным.;Квартира Настасьи Филипповны;;;Ориентир;Достоевский Ф. М.;Настасья Филипповна, Лев Мышкин, Парфен Рогожин;;"""Идиот""";1868;;https://avatars.mds.yandex.net/i?id=a5333d08b6efbe718db25d0f09360ae9_l-5220800-images-thumbs&n=13;«Настасья-то Филипповна? <...> Она живет близ Владимирской, у Пяти Углов, это гораздо ближе отсюда».;59.925913;30.342352
;1;;Патриархальное заведение на Вознесенском проспекте, любимое место сбора немецких ремесленников и обывателей. Здесь происходит первая встреча рассказчика со стариком Смитом и его собакой Азоркой, а также смерть Азорки, что становится эмоциональной завязкой сюжета. Атмосфера тепла и простоты резко контрастирует с холодной петербургской улицей.;кондитерская Миллера;переулок Пирогова, 1;;Место действия;Достоевский Ф. М.;Иеремия Смит, Иван Петрович;;"""Униженные и оскорбленные""";1861;;https://avatars.mds.yandex.net/get-altay/15386533/2a0000019601682cddf5fe4f5e8ae18b6cd8/orig;"«Поровнявшись с кондитерской Миллера, я вдруг остановился как вкопанный и стал смотреть на ту сторону улицы...»
«Посетители этой кондитерской большею частию немцы. Они собираются сюда со всего Вознесенского проспекта – всь хозяева различных заведений...»";59.930022;30.308049
1;;"Старейшее сохранившееся кладбище Санкт-Петербурга, заложенное Петром I как «русский Вестминстер» — пантеон выдающихся деятелей отечественной истории. С 1932 года является музеем-некрополем, захоронения здесь не проводятся. 
Для литературного Петербурга это место имеет особое значение. Здесь находится могила великого русского ученого и поэта Михаила Ломоносова. 
Некрополь тесно связан с именем Александра Пушкина: здесь покоятся его вдова Наталья Николаевна Ланская (Гончарова), двоюродный дед Иван Абрамович Ганнибал, а также люди из его ближайшего окружения (например, граф Н. А. Самойлов). Кроме того, здесь похоронен А. А. Столыпин — родственник и друг Михаила Лермонтова. 
Само существование кладбища в статусе музея стало возможным во многом благодаря Максиму Горькому: в 1934 году именно при его поддержке группа советских литераторов отстояла культурно-историческую ценность этого уникального мемориала, спасив его от разрушения.";;Лазаревское кладбище;Площадь Александра Невского, 1Г;;Захоронение;Ломоносов М. В., Пушкин А. С., Горький М.,;;;;;;https://upload.wikimedia.org/wikipedia/commons/4/4f/Санкт-Петербург%2C_Лазаревское_кладбище%2C_могила_М.В._Ломоносова.JPG;;59.923260;30.387383
1;;"«Литераторские мостки» — самый знаменитый литературный пантеон России. Название возникло в XIX веке: низкая и болотистая почва Волковского кладбища заставляла прокладывать деревянные настилы («мостки»). Участки вдоль этих настилов стали называть по именам тех, кто там упокоен. 
Традиция хоронить здесь литераторов началась в 1848 году с погребения критика Виссариона Белинского. Позже рядом с ним завещали похоронить себя Николай Добролюбов и Иван Тургенев, что окончательно закрепило за этим местом статус главного некрополя русской интеллигенции. 
Здесь покоятся великие прозаики (Салтыков-Щедрин, Лесков, Куприн), поэты (Александр Блок, Ольга Берггольц) и переводчики. В 1935 году некрополь стал музеем: сюда переносили прах выдающихся авторов с других кладбищ, предназначенных под снос (например, останки Блока и Гончарова). Сегодня это уникальное художественное пространство, где надгробия являются памятниками архитектуры и скульптуры.";;Литераторские мостки;Расстанная ул., 30.;«Здесь, на территории Волкова кладбища, в 1802 году был погребен писатель-революционер Александр Николаевич Радищев»;Захоронение;Белинский В. Г., Берггольц О. Ф., Блок А. А., Гарин-Михайловский Н. Г., Гаршин В. М., Добролюбов Н. А., Куприн А. И., Лесков Н. С., Лозинский М. Л., Радищев А. Н., Рождественский В. А., Салтыков-Щедрин М. Е., Тургенев И. С., Чапыгин А. П., Шелгунов Н. В.;;1984;;;;https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/План_Литераторских_мостков%2C_1914.jpg/1280px-План_Литераторских_мостков%2C_1914.jpg;;59.9043212;30.3591522
;1;;"Медный всадник. События поэмы происходят во время наводнения 1824 года. Евгений, герой произведения, мчится по затопленным улицам к своей невесте.
Главный смысловой центр поэмы. Символ государственной мощи, «неподвижно возвышающийся» над стихией и судьбой маленького человека. Место рокового столкновения Евгения с образом императора.";Медный всадник;Сенатская площадь;;Место действия;Пушкин А. С.;Евгений;;"""Медный всадник""";1837;;https://avatars.mds.yandex.net/i?id=62fe6bc2cf987f93bcbd6e1d8b68ccd1_l-5228069-images-thumbs&n=13;"«Над огражденною скалою / Кумир с простертою рукою / Сидел на бронзовом коне». 
«Ужасен он в окрестной мгле! / Какая дума на челе! / Какая сила в нем сокрыта!»";59.936429;30.302170
1;;Обелиск с стелами.;;Место дуэли А.С. Пушкина;Коломяжский пр., 10;;Памятник;Пушкин А. С.;;;;;Лапиров Абрам Ильич, Катонин Евгений Иванович;https://avatars.mds.yandex.net/get-altay/1360498/2a00000164d1512f21ba5c71423460966eb5/XXXL;;59.994986;30.301873
1;;Уникальный музей-некрополь под открытым небом, ставший местом упокоения многих классиков русской литературы. Кладбище было заложено в 1823 году из-за переполненности старого Лазаревского погоста. Свою современную форму оно обрело в 1930-е годы, когда советская власть решила создать здесь «Некрополь мастеров искусств». Сюда со всех концов Петербурга (в том числе с уничтожаемых кладбищ) свозили прах и художественные надгробия великих писателей, композиторов и скульпторов. Парадокс этого «мемориального парка» в том, что ради спасения памятников гениям были безжалостно уничтожены сотни исторических могил обычных петербуржцев, которые власть сочла «не представляющими ценности». Сейчас памятники здесь сгруппированы по «творческому родству», а сама территория является музеем и больше не принадлежит Александро-Невской лавре.;;Некрополь мастеров искусств;Площадь Александра Невского, 1В;;Захоронение;Дельвиг А. А., Достоевский Ф. М., Жуковский В. А., Карамзин Н. М., Крылов И. А., Стасов В. В.;;;;;;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/План_Тихвинского_кладбища%2C_1914.jpg/1280px-План_Тихвинского_кладбища%2C_1914.jpg;;59.922545;30.385675
1;1;Нос майора Ковалева можно назвать самым необычным памятником в Санкт-Петербурге. Идея создания скульптуры принадлежит писателю, актеру и режиссеру Виктору Жуку. Памятник установили на фасаде дома № 11 по Вознесенскому проспекту, в том самом месте, где жил его литературный обладатель — персонаж повести Н.В. Гоголя «Нос». 27 ноября 1995 года скульптуру торжественно открыли участники Фестиваля сатиры и юмора «Золотой Остап». Из серой известняковой плиты размером 60 см на 35 см торчит нос, сделанный из розового украинского мрамора, привезенного с родины Н.В. Гоголя.;Нос майора Ковалева можно назвать самым необычным памятником в Санкт-Петербурге. Идея создания скульптуры принадлежит писателю, актеру и режиссеру Виктору Жуку. Памятник установили на фасаде дома № 11 по Вознесенскому проспекту, в том самом месте, где жил его литературный обладатель — персонаж повести Н.В. Гоголя «Нос». 27 ноября 1995 года скульптуру торжественно открыли участники Фестиваля сатиры и юмора «Золотой Остап». Из серой известняковой плиты размером 60 см на 35 см торчит нос, сделанный из розового украинского мрамора, привезенного с родины Н.В. Гоголя.;Нос майора Ковалева;Вознесенский проспект, 36;;Памятник;Гоголь Н. В.;Цирюльник Иван Яковлевич;1995;"""Нос""";1833;;https://avatars.mds.yandex.net/get-altay/6333331/2a0000018073dc5fcf87ec2f45db3220ea55/XXXL;"""Разрезавши хлеб на две половины, он поглядел в середину и, к удивлению своему, увидел что-то белевшееся. Иван Яковлевич ковырнул осторожно ножом и пощупал пальцем. «Плотное! — сказал он сам про себя, — что бы это такое было?»Он засунул пальцы и вытащил — нос!.. Иван Яковлевич и руки опустил; стал протирать глаза и щупать: нос, точно нос! и еще, казалось, как будто чей-то знакомый. Ужас изобразился в лице Ивана Яковлевича. Но этот ужас был ничто против негодования, которое овладело его супругою.""";59.924576;30.308240
;1;;Реально существовавшая в Петербурге больница (первая городская), при которой находился «Дом призрения для умалишенных». Здесь заканчивается путь Германна.;Обуховская больница;Набережная реки Фонтанки, 106;;Место действия;Пушкин А. С.;Германн;;"""Пиковая дама""";1834;;https://avatars.mds.yandex.net/i?id=04da19ff2b7988903728a4a9e2c3c312_l-3831986-images-thumbs&n=13;«Германн сошёл с ума. Он сидит в Обуховской больнице в 17-м нумере, не отвечает ни на какие вопросы и бормочет необыкновенно скоро: «Тройка, семёрка, туз! Тройка, семёрка, дама!..»;59.922008;30.320936
;1;;"Парадный подъезд на Литейном. Центральный образ, олицетворяющий социальное неравенство и равнодушие власти. Место, куда приходят крестьяне в надежде на справедливость, но их прогоняют. В реальном мире это был ""Дом департамента уделов"" - дом министра земельных и лесных угодий М. Н. Муравьева.";Парадный подъезд;Литейный проспект, 37-39;;Место действия;Некерасов Н. А.;;;"""Размышления у парадного подъезда""";;;https://avatars.mds.yandex.net/i?id=c023d36ac2bd74fb72e3f637c28160eb_l-5250635-images-thumbs&n=13;"«Вот парадный подъезд. По торжественным дням, одержимый холопским недугом, целый город с каким-то испугом подъезжает к заветным дверям...» 
«А в обычные дни этот пышный подъезд осаждают убогие лица: прожектеры, искатели мест, и преклонный старик, и вдовица».";59.939789;30.347875
;1;;Здесь, как полагают исследователи, находилась контора квартального надзирателя, куда Раскольникова вызвали за неуплату долга хозяйке квартиры — почти сразу после убийства. В эту же контору в конце романа Раскольников пришел с повинной.Во времена Достоевского здесь действительно размещалась полицейская контора 3-го квартала Казанской части (к этой части относился дом Раскольникова в Столярном переулке).;Полицейская контора;набережная канала Грибоедова, 65-67;;Место действия;Достоевский Ф. М.;Родион Раскольников;;"""Преступление и наказание""";1866;;https://sun9-8.userapi.com/s/v1/if1/guofjcJTDXnjsv3VR3xgy0pYwfjtfeCpFiKuKgl1yaeNlDCYdfL6c0P9vL8fvswwHfVjzpLi.jpg?quality=96&as=32x26,48x39,72x58,108x87,160x129,240x194,360x291,480x388,540x436,640x517,720x582,798x645&from=bu&u=gTv3lBhd1JOUlPKJui-Jj0TtKRGYv08UUyHPkea5Z7I&cs=798x645;"«Контора была от него с четверть версты. Она только что переехала на новую квартиру, в новый дом, в четвертый этаж. На прежней квартире он был когда-то мельком, но очень давно.
<…>
Лестница была узенькая, крутая и вся в помоях. Все кухни всех квартир во всех четырех этажах отворялись на эту лестницу и стояли так почти целый день. Оттого была страшная духота».";59.926702;30.314718
1;;;;Пушкин ушёл;улица Савушкина, 1/2;;Памятник;Пушкин А. С.;;;;;;https://avatars.mds.yandex.net/get-altay/14584627/2a000001971268db4f0405b312b5a846fee4/XXXL;;59.986707;30.300176
;1;;Ресторан Бореля. Обозначен в романе как «ресторан Б.», упоминается в романе как одна из городских реалий. Заведение с отдельными кабинетами, где происходит ключевая циничная исповедь князя и финальное объяснение с рассказчиком. Атмосфера ресторана подчеркивает разврат, светскую фальшь и моральное разложение, становясь местом кульминации конфликта и раскрытия истинной натуры князя.;Ресторан Б.;Большая Морская улица, 16;;Место действия;Достоевский Ф. М.;Князь Валковский, Иван Петрович;;"""Униженные и оскорбленные""";1861;;https://static.sobaka.ru/images/image/01/48/79/89/_normal.jpg?v=1634122905;"""— Ну, разумеется, и поговорим за ужином, — прибавил он, пристально и хитро смотря мне прямо в глаза.
Как было не понять! «Он хочет высказаться, — подумал я, — а мне ведь того и надо». Я согласился.
— Дело в шляпе. В Большую Морскую, к Б.
— В ресторан? — спросил я с некоторым замешательством.
— Да. А что ж? Я ведь редко ужинаю дома. Неужели ж вы мне не позволите пригласить вас?""";59.935299;30.317018
;1;;Один из самых известных и фешенебельных ресторанов Петербурга 1860-х годов, соперничавший по популярности с заведением Бореля. В романе упоминается как место встреч представителей «теневой» стороны высшего света, где обсуждаются сомнительные сделки, вершатся финансовые махинации и разгуливает разврат. Упоминание реального адреса усиливает документальность «петербургского текста» Достоевского, подчёркивая контраст между блестящими заведениями и духовной драмой главных героев.;Ресторан Дюссо;Кирпичный переулок, 6;;Ориентир;Достоевский Ф. М.;Степан Сизобрюхов;;"""Униженные и оскорбленные""";1861;;https://media.kudago.com/thumbs/xl/images/rich_editor/98/3c/983c3df2b5749549164eb24b353616b3.jpg;"«А вы бы с нами, Филипп Филиппыч, полдюжинки распили-с, у Дюссо-с, прикажете надеяться-с?»
«Ресторан Дюссо помещался также на Большой Морской в доме Жако, 11/6, на углу Кирпичного переулка и пользовался одинаковой известностью с рестораном Бореля.»";59.935543;30.316404
;1;;Место похорон графини, где Германну кажется, что покойница подмигнула ему из гроба. Это событие окончательно подрывает его психику.;Свято-Троицкая Александро-Невская Лавра;набережная реки Монастырки, 1;;Место действия;Пушкин А. С.;Германн, Лизавета Ивановна;;"""Пиковая дама""";1834;;https://upload.wikimedia.org/wikipedia/commons/c/c8/Alexander_Nevsky_Lavra_1880.jpg;"«Германн отправился в *** монастырь, где должны были отпевать тело усопшей графини». 
«Церковь была полна. Германн насилу мог пробраться сквозь толпу народа. Гроб стоял на богатом катафалке под бархатным балдахином».";59.921101;30.388533
;1;;Именно здесь у главного героя Родиона Раскольникова в голову закралась мысль об убийстве старухи-процентщицы. Он подслушал разговор ее сестры — Лизаветы Ивановны — и узнал, что «старуха… ровно в семь часов вечера останется дома одна». Здесь же Раскольников и покаялся в совершенном преступлении. Когда Соня Мармеладова сказала ему: «Поди на перекресток, поклонись всему миру и скажи: «Я убийца» — он вновь пришел на Сенную. Он встал на колени посреди площади и поцеловал «эту грязную землю с наслаждением и счастием». Однако внимание прохожих не дало ему вслух сознаться в убийстве.;Сенная площадь;;;Место действия;Достоевский Ф. М.;Родион Раскольников, Соня Мармеладова;;"""Преступление и наказание""";1866;;https://avatars.mds.yandex.net/i?id=0ffb4e708ac38c22fea9213241f1f7ab_l-3986671-images-thumbs&n=13;«Поди на перекресток, поклонись народу, поцелуй землю, потому что ты и пред ней согрешил, и скажи всему миру вслух: «Я убийца!». Он весь задрожал, припомнив это. И до того уже задавила его безвыходная тоска и тревога всего этого времени, но особенно последних часов, что он так и ринулся в возможность этого цельного, нового, полного ощущения. Каким-то припадком оно к нему вдруг подступило: загорелось в душе одною искрой и вдруг, как огонь, охватило всего. Всё разом в нем размягчилось, и хлынули слезы. Как стоял, так и упал он на землю»;59.926887;30.318089
1;;Одно из старейших кладбищ города на Васильевском острове. Оно известно как место «первоначальных» захоронений Александра Блока и Тараса Шевченко (позже их прах был перенесен, но места отмечены кенотафами). Это кладбище — хранитель памяти о близких великих писателей (семьи Достоевского, Зощенко, няня Пушкина).;;Смоленское православное кладбище;Васильевский остров, ул. Камская, 24;;Захоронение;Блок А. А., Шевченко Т. Г., Достоевский Ф. М., Пушкин А. С., Зощенко М. М.;;;;;;https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/План_Смоленского_православного_кладбища%2C_1914.jpg/1280px-План_Смоленского_православного_кладбища%2C_1914.jpg;;59.943188;30.247670
;1;;Вокзал, соединяющий Петербург с дачным пригородом — Павловском. Здесь в толпе Мышкину мерещатся глаза Рогожина, что усиливает его лихорадочное состояние.;Царскосельский вокзал;Загородный проспект, 52;;Место действия;Достоевский Ф. М.;Лев Мышкин, Парфен Рогожин;;"""Идиот""";1868;;https://avatars.mds.yandex.net/i?id=3e6fdb4e84221332a48bceb5c315c16e_l-5268869-images-thumbs&n=13;«К шести часам очутился на дебаркадере Царскосельской железной дороги! Уединение скоро стало ему невыносимо... Садясь в вагон, он вдруг бросил только-что взятый билет на пол и вышел обратно из воксала...»;59.919948;30.328816
